_id,id_anime,id_genre
ObjectId(5b215ff831765d2a2ce8b95f),5b201e5c40182d3e18c96f7c,5b213cad2fa0bc25e428a6cd
ObjectId(5b215ff931765d2a2ce8b961),5b201e5c40182d3e18c96f7c,5b213cab2fa0bc25e428a6c9
ObjectId(5b215ff431765d2a2ce8b95b),5b201e5c40182d3e18c96f7c,5b213ca82fa0bc25e428a6c5
ObjectId(5b215ff331765d2a2ce8b959),5b201e5c40182d3e18c96f7c,5b213ca72fa0bc25e428a6c3
ObjectId(5b215ffd31765d2a2ce8b966),5b201e6a40182d3e18c96f83,5b213cb42fa0bc25e428a6d8
ObjectId(5b215ffb31765d2a2ce8b963),5b201e6a40182d3e18c96f83,5b213cae2fa0bc25e428a6cf
ObjectId(5b215ffc31765d2a2ce8b965),5b201e6a40182d3e18c96f83,5b213cad2fa0bc25e428a6cd
ObjectId(5b215fff31765d2a2ce8b968),5b201e5940182d3e18c96f7b,5b213cb42fa0bc25e428a6d7
ObjectId(5b21600231765d2a2ce8b96c),5b201e5940182d3e18c96f7b,5b213caf2fa0bc25e428a6d0
ObjectId(5b21600031765d2a2ce8b96a),5b201e5940182d3e18c96f7b,5b213cad2fa0bc25e428a6cd
ObjectId(5b21600431765d2a2ce8b970),5b201e2240182d3e18c96f58,5b213caf2fa0bc25e428a6d0
ObjectId(5b21600331765d2a2ce8b96e),5b201e2240182d3e18c96f58,5b213ca82fa0bc25e428a6c5
ObjectId(5b21600831765d2a2ce8b974),5b201e2340182d3e18c96f59,5b213caf2fa0bc25e428a6d0
ObjectId(5b21600631765d2a2ce8b972),5b201e2340182d3e18c96f59,5b213ca82fa0bc25e428a6c5
ObjectId(5b21600e31765d2a2ce8b97b),5b201e2640182d3e18c96f5b,5b213cb42fa0bc25e428a6d8
ObjectId(5b21600a31765d2a2ce8b978),5b201e2640182d3e18c96f5b,5b213cb42fa0bc25e428a6d7
ObjectId(5b21600c31765d2a2ce8b97a),5b201e2640182d3e18c96f5b,5b213cad2fa0bc25e428a6cd
ObjectId(5b21600931765d2a2ce8b976),5b201e2640182d3e18c96f5b,5b213ca82fa0bc25e428a6c5
ObjectId(5b21601031765d2a2ce8b97f),5b201e4640182d3e18c96f72,5b213cb42fa0bc25e428a6d7
ObjectId(5b21601231765d2a2ce8b981),5b201e4640182d3e18c96f72,5b213cad2fa0bc25e428a6cd
ObjectId(5b21601331765d2a2ce8b983),5b201e4640182d3e18c96f72,5b213caa2fa0bc25e428a6c8
ObjectId(5b21600f31765d2a2ce8b97d),5b201e4640182d3e18c96f72,5b213ca92fa0bc25e428a6c6
ObjectId(5b21601831765d2a2ce8b989),5b201e4c40182d3e18c96f75,5b213cb22fa0bc25e428a6d4
